Category,Image,Title,Price
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/03/z4170501683693_53901461578d59eacefb0bc76c81b983-300x300.jpg,Nike Air Force 1 Valentine’s Kem Đỏ REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/06/z3658256209461_7ece159f6312acfef1a75c500d641a56-300x300.jpg,Nike Air Force 1 Vải Kem Navy REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/08/z4629138861745_faefa91349c16f91fec9e9044834fe23-300x300.jpg,Nike Air Force 1 07 Designed Fresh Gót Caro REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/06/z3658207389094_7bb3dfe67ef9d0dee137477f258ef01c-300x300.jpg,Nike Air Force 1 Brooklyn NY Kem REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/08/z4629150991430_ebc4b53c0acdbdc63b364dc8828291e7-300x300.jpg,Nike Air Force 1 07 Undefeated Trắng Xanh Ngọc REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/06/z3655991667803_75905f685e944540baae1e85fa53e424-300x300.jpg,Nike Air Force 1 Da Lộn Xám Vạch Kem REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/06/z3653382024388_b71b53e078a302ac959fbf71b3528f81-300x300.jpg,Nike Air Force 1 LV Nâu Kem REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/08/z3655678775297_78ce397fb50d6d7d5ad2a52c6276894f-300x300.jpg,Nike Air Force 1 Athletic Club Da Lộn Xám Gót XD REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/11/z3856699593726_6123e022b65c12e7a8b599d833796010-300x300.jpg,Nike Air Force 1 LV Đen Trắng Chữ Vàng REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/08/z4599158963682_962657a6a878ffa88e7707b60da53ea7-300x300.jpg,Nike Air Force 1 Brooklyn Sail Kem Viền Đen REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/11/z3856698801262_6b1eeb14a9ebb72ff060fc32d81a8707-300x300.jpg,Nike Air Force 1 LV Full Trắng Chữ Vàng REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/08/z4646458392955_753ad9f7d0cbfb95ff14385ccd809909-300x300.jpg,Giày Nike Court Borough Xám Xanh Lục REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/11/z3858869981566_c43328851045177b97ec70c867110f35-300x300.jpg,Nike Air Force 1 Bigbang Xám Kem REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/09/z4691842962708_151cc9967f5f5f6485dcb9283bd08a0b-300x300.jpg,Nike Air Force 1 07 LV Kem Đế Nâu REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/12/z3998172517062_b8aaacfddb6e3a64441f539172f3b618-300x300.jpg,Nike Air Force 1 Athletic Club Da Lộn Xám REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2021/12/z3742044435921_5abfdd8d8a3baad4e4e2d33503b6695f-300x300.jpg,Jordan 1 High Travis Scott Nâu Đen REP 1:1,650
giay-nike,https://giayxshop.vn/wp-content/uploads/2020/12/z3712930750786_4afb044662814b1db63dee0ec02e23cc-300x300.jpg,Nike Air Jordan 4 Retro Off White Kem REP 1:1,750
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/02/z4116934642470_531f9d557ef1f4ceed1f7285c413a1b7-300x300.jpg,Nike Jordan 1 High MoCha Nâu Đen REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/12/z3991762861651_4b60140b1f7ebfc0c64adf251707244b-300x300.jpg,Giày Nike Dunk Disrupt 2 Trắng Xanh Lá REP 1:1,650
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/02/z4116949478571_dfe65f7b1dd170af562b91ee83899ce0-300x300.jpg,Nike Air Force 1 Low Soot Xám Kem REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/09/z3712953918563_1896ea471b0986501feace516dae6c12-300x300.jpg,Nike Air Jordan 4 Retro Trắng Xám Đen REP 1:1,750
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/12/z3994862161628_b1a3d8475db7e12a6925319ed22d9ceb-300x300.jpg,Giày Nike SB Dunk Nâu Trắng REP 1:1,650
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/02/z4129316087195_5568a81d28465b4463e4058d70e69feb-300x300.jpg,Nike Air Force 1 LV Da Lộn Full Black REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/09/z4599147397043_b175b4e48ec1b0a0467a4f58f9563068-300x300.jpg,Nike Air Jordan 4 Retro Trắng XM Đen REP 1:1,750
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/12/z3994862412898_8c768efe6dbcfd1f83512526187599e4-300x300.jpg,Giày Nike Dunk Disrupt 2 Xám Trắng REP 1:1,650
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/12/z3965051094911_eb727728d3d5b0dfdbe4cf3c8aafa0db-300x300.jpg,Nike Air Jordan 4 Retro Full Black REP 1:1,750
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/04/z4279612690659_4b4a2118426078fc2af6eb2a388e43da-300x300.jpg,Giày Nike SB Dunk Xám Trắng Xanh REP 1:1,650
